"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000015507",80.6054880769273,1.35470651301866,0.536766178120016,0.000653891568190301,0.0130123348793664
"ENSSSCG00000015595",458.156428064809,1.74467286517164,0.537218234606587,5.01360001225319e-05,0.00197510824599139
"ENSSSCG00000015659",218.686930689285,1.12488030402538,0.483137767890603,0.00142021289916933,0.0224263451886329
"ENSSSCG00000015709",130.178882363618,1.7354954452988,0.694261898179666,0.000446712781634933,0.0099585417637651
"ENSSSCG00000015742",40.8770127086057,1.367312295625,0.725062050045925,0.00256391803858111,0.0335986742137437
"ENSSSCG00000015784",1403.77428683438,1.39658097176381,0.335018605229424,2.34373393816394e-06,0.000181165584409748
"ENSSSCG00000015790",1905.71526575138,1.63324676503407,0.359198410517113,3.50822578537004e-07,4.07836628263661e-05
"ENSSSCG00000015839",30.0430853371499,1.29872149564902,0.805181728769594,0.00427641944464278,0.0467863002635889
"ENSSSCG00000015844",880.41629723258,1.05320701170352,0.387857252239721,0.000594870508151621,0.0122790863387419
"ENSSSCG00000015868",53.2642238248015,1.55716491048086,1.08203090906,0.00358303346235912,0.0414245888213807
"ENSSSCG00000015883",568.955443917614,1.32015292655173,0.286738756506301,3.22278814959994e-07,3.76966744733144e-05
"ENSSSCG00000015907",144.299927414812,1.04930670461118,0.579986458074714,0.00462299492480403,0.0492694774072619
"ENSSSCG00000016026",68.3091681961902,1.60383751188572,0.587231459155219,0.000285521919855948,0.00723309473175183
"ENSSSCG00000016052",599.629326961016,1.13200019910951,0.371636173383428,0.000194233634473866,0.00550154430440252
"ENSSSCG00000016160",19.3832026213098,4.26416650817289,1.2622940868244,3.77571369440736e-05,0.00157938187186148
"ENSSSCG00000016186",1467.67153697002,1.56142520896054,0.383409185185021,2.67151013067421e-06,0.000200088717257492
"ENSSSCG00000016245",858.58369830138,1.36352667418027,0.374660256724851,1.81883243023851e-05,0.000890569915260712
"ENSSSCG00000016258",39.6306297579163,1.90446733783583,1.31667524135463,0.00261224003861762,0.0339810288073419
"ENSSSCG00000016331",189.457624746236,1.34101921656742,0.456202495711492,0.000203202093280537,0.00569680155334212
"ENSSSCG00000016420",917.664089987166,1.00944694061932,0.269115533610405,2.20879231575796e-05,0.00104053268894217
"ENSSSCG00000016478",24.4285377514919,5.2095839762568,1.50809448768816,4.69853973792754e-05,0.00187832551675082
"ENSSSCG00000016614",74.0408587165972,1.11432177540705,0.45088341880245,0.00106948232591468,0.0183731827685922
"ENSSSCG00000016646",797.391705100369,1.15404844134724,0.35382232929168,9.35039392470641e-05,0.00324506619925388
"ENSSSCG00000016793",661.589633266862,1.0139438034052,0.346477998644134,0.000337976325310919,0.00810672580799571
"ENSSSCG00000016867",4265.148432791,1.17187725239411,0.268324917090225,1.17253782507832e-06,0.000107335358683136
"ENSSSCG00000016898",53.7788850820326,1.47924103283516,0.521126621894993,0.000247144516898034,0.00654984818279837
"ENSSSCG00000016941",60.5432514321415,1.07231445644648,0.590672833105691,0.00449353126112126,0.0483278724080567
"ENSSSCG00000016958",1752.81469853645,1.01878875648391,0.370731249497232,0.0005811066042443,0.0120706969270827
