"","Mouse.gene.stable.ID","DownLFC"
"437","ENSMUSG00000043029","-2.27819943552507"
"438","ENSMUSG00000043366","-3.46873886041585"
"439","ENSMUSG00000043385","-2.43438489052056"
"440","ENSMUSG00000043789","-2.61616459480766"
"441","ENSMUSG00000044014","-3.97766553217855"
"442","ENSMUSG00000044021","-2.51318538419338"
"443","ENSMUSG00000044086","-2.45267740189919"
"444","ENSMUSG00000044139","-2.08359887021788"
"445","ENSMUSG00000044176","-2.08576541799171"
"446","ENSMUSG00000044349","-3.36035020436934"
"447","ENSMUSG00000044378","-2.25819587624235"
"448","ENSMUSG00000044429","-2.14658883640974"
"449","ENSMUSG00000044441","-2.2917321439139"
"450","ENSMUSG00000044444","-2.44830814847213"
"451","ENSMUSG00000044664","-2.56803248623308"
"452","ENSMUSG00000044681","-3.40518808291373"
"453","ENSMUSG00000044788","-2.14975095097747"
"454","ENSMUSG00000044816","-2.85460633822681"
"455","ENSMUSG00000044860","-2.88513718001156"
"456","ENSMUSG00000044937","-2.17661980227605"
"457","ENSMUSG00000045030","-3.63370072007633"
"458","ENSMUSG00000045282","-2.28416248505755"
"459","ENSMUSG00000045291","-4.81971049775498"
"460","ENSMUSG00000045337","-2.19095753650954"
"461","ENSMUSG00000045421","-2.00807150289232"
"462","ENSMUSG00000045514","-2.71107744685933"
"463","ENSMUSG00000045521","-2.04369393507814"
"464","ENSMUSG00000045672","-3.46511626449676"
"465","ENSMUSG00000045746","-2.83251561717789"
"466","ENSMUSG00000045871","-2.74319147620242"
"467","ENSMUSG00000045942","-2.67618157968693"
"468","ENSMUSG00000046213","-2.10098157102318"
"469","ENSMUSG00000046408","-2.47280682438594"
"470","ENSMUSG00000046652","-2.00498289862762"
"471","ENSMUSG00000046687","-2.27146859633019"
"472","ENSMUSG00000046764","-2.77240062028075"
"473","ENSMUSG00000046828","-2.53553905799919"
"474","ENSMUSG00000046840","-3.31749289042135"
"475","ENSMUSG00000047108","-2.56951735650912"
"476","ENSMUSG00000047246","-2.31883424026819"
"477","ENSMUSG00000047369","-2.24779084332198"
"478","ENSMUSG00000047390","-2.21088520702812"
"479","ENSMUSG00000047502","-3.30239505300505"
"480","ENSMUSG00000047507","-3.11490319273111"
"481","ENSMUSG00000047511","-3.3623020016822"
"482","ENSMUSG00000047528","-2.47555873488468"
"483","ENSMUSG00000047583","-2.85781210956513"
"484","ENSMUSG00000047586","-3.18460228102223"
"485","ENSMUSG00000047696","-2.34467727439111"
"486","ENSMUSG00000047728","-2.23151333275673"
"487","ENSMUSG00000047733","-2.77130615659012"
"488","ENSMUSG00000047746","-2.78685621829811"
"489","ENSMUSG00000047938","-2.26498188921636"
"490","ENSMUSG00000047940","-2.2948621244113"
"491","ENSMUSG00000048153","-3.18093757363307"
"492","ENSMUSG00000048191","-2.21309867415998"
"493","ENSMUSG00000048251","-2.41863362448869"
"494","ENSMUSG00000048399","-3.77097908697912"
"495","ENSMUSG00000048424","-2.12393287221045"
"496","ENSMUSG00000048655","-2.08033213202545"
"497","ENSMUSG00000048731","-2.86841994786378"
"498","ENSMUSG00000048834","-2.45418045183322"
"499","ENSMUSG00000048939","-2.15719821001073"
"500","ENSMUSG00000048997","-2.44380728401489"
"501","ENSMUSG00000049152","-2.83604836862899"
"502","ENSMUSG00000049349","-2.07076323609497"
"503","ENSMUSG00000049476","-2.58267608231098"
"504","ENSMUSG00000049653","-3.8264962048728"
"505","ENSMUSG00000049799","-2.66003824103678"
"506","ENSMUSG00000049897","-2.12450981117477"
"507","ENSMUSG00000050545","-2.59554955651289"
"508","ENSMUSG00000050553","-2.14647445961415"
"509","ENSMUSG00000050625","-2.0555569393831"
"510","ENSMUSG00000050645","-2.85972701569674"
"511","ENSMUSG00000050844","-4.06017792992022"
"512","ENSMUSG00000051008","-2.24457065961153"
"513","ENSMUSG00000051159","-2.93125938906707"
"514","ENSMUSG00000051262","-2.53157515315786"
"515","ENSMUSG00000051517","-2.39859438378135"
"516","ENSMUSG00000051596","-2.73580083906215"
"517","ENSMUSG00000051627","-2.52052596030613"
"518","ENSMUSG00000051839","-2.39956451400853"
"519","ENSMUSG00000051965","-2.56731059421911"
"520","ENSMUSG00000051985","-2.62882443640994"
"521","ENSMUSG00000052026","-3.95116572814204"
"522","ENSMUSG00000052236","-4.44444109581294"
"523","ENSMUSG00000052363","-3.61367448973553"
"524","ENSMUSG00000052392","-2.32832294159868"
"525","ENSMUSG00000052396","-3.04260616078916"
"526","ENSMUSG00000052403","-4.2847379037685"
"527","ENSMUSG00000052414","-2.55905238237272"
"528","ENSMUSG00000052469","-2.01847912298194"
"529","ENSMUSG00000052520","-2.17974557503026"
"530","ENSMUSG00000052562","-4.44416161547491"
"531","ENSMUSG00000052565","-3.16439539054671"
"532","ENSMUSG00000052595","-2.3737004989517"
"533","ENSMUSG00000052850","-3.08910326418008"
"534","ENSMUSG00000052951","-2.27694380078002"
"535","ENSMUSG00000053049","-2.01534490834605"
"536","ENSMUSG00000053121","-3.24507609854889"
"537","ENSMUSG00000053168","-4.49801189995548"
"538","ENSMUSG00000053228","-2.30848974086655"
"539","ENSMUSG00000053338","-2.1219587411758"
"540","ENSMUSG00000053588","-2.71874960891086"
"541","ENSMUSG00000053613","-2.64946980376321"
"542","ENSMUSG00000053852","-3.88320144497097"
"543","ENSMUSG00000053861","-2.09607803049001"
"544","ENSMUSG00000053862","-2.28664467542948"
"545","ENSMUSG00000053925","-2.38462591311169"
"546","ENSMUSG00000053964","-2.32254276317356"
"547","ENSMUSG00000054005","-2.0567287608775"
"548","ENSMUSG00000054006","-4.14342723328144"
"549","ENSMUSG00000054031","-2.97636063174715"
"550","ENSMUSG00000054052","-3.06519394625812"
"551","ENSMUSG00000054191","-2.09191180953853"
"552","ENSMUSG00000054204","-3.62502813403896"
"553","ENSMUSG00000054385","-2.73072226455602"
